newstest2019.online-B.0.en-cs	zbytek
newstest2019.CUNI-DocTransformer-T2T.6751.en-cs	kohout
newstest2019.TartuNLP-c.6633.en-cs	povlak
ref_cs	vitrina
newstest2019.online-B.0.en-cs	sillos
newstest2019.CUNI-DocTransformer-T2T.6751.en-cs	briketa
newstest2019.CUNI-DocTransformer-T2T.6751.en-cs	kohout
newstest2019.TartuNLP-c.6633.en-cs	bolest
newstest2019.online-B.0.en-cs	jistota
newstest2019.CUNI-DocTransformer-T2T.6751.en-cs	vojsko
newstest2019.CUNI-Transformer-T2T-2019.6851.en-cs	poleva
newstest2019.CUNI-Transformer-T2T-2019.6851.en-cs	rovina
newstest2019.CUNI-Transformer-T2T-2019.6851.en-cs	pomyje
newstest2019.TartuNLP-c.6633.en-cs	narcis
ref_cs	dvorek
newstest2019.online-B.0.en-cs	pokles
newstest2019.CUNI-DocTransformer-T2T.6751.en-cs	krajan
newstest2019.CUNI-Transformer-T2T-2019.6851.en-cs	rozpor
ref_cs	tlapka
ref_cs	tlapka
newstest2019.CUNI-Transformer-T2T-2019.6851.en-cs	dotace
newstest2019.TartuNLP-c.6633.en-cs	smaragd
newstest2019.online-B.0.en-cs	slepice
ref_cs	pavouk
newstest2019.CUNI-DocTransformer-T2T.6751.en-cs	zkratka
newstest2019.CUNI-DocTransformer-T2T.6751.en-cs	pahorek
newstest2019.TartuNLP-c.6633.en-cs	vidina
ref_cs	kostel
newstest2019.CUNI-Transformer-T2T-2019.6851.en-cs	ilustr
newstest2019.online-B.0.en-cs	bytost
newstest2019.online-B.0.en-cs	jahoda
newstest2019.CUNI-DocTransformer-T2T.6751.en-cs	pahorek
newstest2019.CUNI-DocTransformer-T2T.6751.en-cs	podrost
newstest2019.CUNI-Transformer-T2T-2019.6851.en-cs	rovina
newstest2019.TartuNLP-c.6633.en-cs	porucha
ref_cs	omeleta
newstest2019.online-B.0.en-cs	kaktus
newstest2019.CUNI-DocTransformer-T2T.6751.en-cs	koupel
newstest2019.CUNI-Transformer-T2T-2019.6851.en-cs	hlahol
newstest2019.TartuNLP-c.6633.en-cs	koncert
ref_cs	metoda
newstest2019.online-B.0.en-cs	divadlo
newstest2019.CUNI-DocTransformer-T2T.6751.en-cs	obluda
newstest2019.CUNI-Transformer-T2T-2019.6851.en-cs	fialovo
newstest2019.TartuNLP-c.6633.en-cs	biograf
ref_cs	pustina
newstest2019.online-B.0.en-cs	podnos
newstest2019.CUNI-DocTransformer-T2T.6751.en-cs	leopard
newstest2019.CUNI-Transformer-T2T-2019.6851.en-cs	mlsnost
