newstest2019.online-B.0.en-de	silkie	Pavel Komárek	2	0	0	2	0
newstest2019.eTranslation.6823.en-de	absence	Pavel Komárek	2	1	1	1	1
newstest2019.MSRA.MADL.6926.en-de	dealer	Pavel Komárek	2	2	2	2	2
ref_de	regime	Pavel Komárek	3	3	3	3	3
newstest2019.online-B.0.en-de	defence	Pavel Komárek 	3	3	3	3	3
newstest2019.eTranslation.6823.en-de	health	Pavel Komárek	2	2	2	2	1
newstest2019.MSRA.MADL.6926.en-de	servant	Pavel Komárek	3	3	3	3	3
ref_de	thesis	Pavel Komárek	3	3	3	3	3
newstest2019.online-B.0.en-de	serpent	Pavel Komárek	3	3	3	2	2
newstest2019.eTranslation.6823.en-de	artist	Pavel Komárek	3	3	3	3	3
newstest2019.MSRA.MADL.6926.en-de	anthrax	Pavel Komárek	3	1	1	1	1
ref_de	pricing	Pavel Komárek	3	3	3	3	3
newstest2019.online-B.0.en-de	emotion	Pavel Komárek	3	1	1	1	1
newstest2019.eTranslation.6823.en-de	preview	Pavel Komárek	3	3	3	3	3
newstest2019.MSRA.MADL.6926.en-de	bicycle	Pavel Komárek	3	3	3	3	3
ref_de	hanging	Pavel Komárek	3	3	3	3	3
